[GC 33792K->6630K(125952K), 0.0137180 secs]
[GC 40422K->6850K(159744K), 0.0089380 secs]
[GC 74434K->9980K(159744K), 0.0134650 secs]
[GC 77564K->11265K(227328K), 0.0122980 secs]
Started server on port 3000
[GC 146433K->15186K(227328K), 0.0192290 secs]
[GC 150354K->15290K(222720K), 0.0161360 secs]
[GC 145338K->15343K(215040K), 0.0155570 secs]
[GC 140271K->15335K(208896K), 0.0075180 secs]
[GC 135655K->15403K(203264K), 0.0047540 secs]
[GC 131115K->15435K(199168K), 0.0025410 secs]
[GC 127051K->15443K(206336K), 0.0023050 secs]
[GC 122963K->15443K(191488K), 0.0023250 secs]
[GC 119379K->15451K(199168K), 0.0025940 secs]
[GC 115803K->15467K(184320K), 0.0023080 secs]
[GC 112235K->15467K(191488K), 0.0023070 secs]
[GC 108651K->15475K(177664K), 0.0023410 secs]
[GC 105587K->15475K(184832K), 0.0023290 secs]
[GC 102515K->15491K(171520K), 0.0025120 secs]
[GC 99459K->15491K(178176K), 0.0024020 secs]
[GC 96899K->15499K(166400K), 0.0022700 secs]
[GC 94347K->15499K(172032K), 0.0023660 secs]
[GC 91787K->15499K(161280K), 0.0024130 secs]
[GC 89227K->15515K(166912K), 0.0024380 secs]
[GC 87195K->15483K(157184K), 0.0024080 secs]
[GC 85115K->15523K(161792K), 0.0023150 secs]
[GC 83107K->15523K(153088K), 0.0023410 secs]
[GC 81059K->15523K(157184K), 0.0023270 secs]
[GC 79011K->15539K(148992K), 0.0024490 secs]
[GC 76979K->15539K(152576K), 0.0024040 secs]
[GC 75443K->15539K(145920K), 0.0024470 secs]
[GC 73907K->15555K(148992K), 0.0025000 secs]
[GC 72387K->15555K(142848K), 0.0023210 secs]
[GC 70851K->15555K(145408K), 0.0023220 secs]
[GC 69315K->15563K(139776K), 0.0023980 secs]
[GC 67787K->15531K(141312K), 0.0024120 secs]
[GC 66219K->15563K(137216K), 0.0023160 secs]
[GC 65227K->15563K(139264K), 0.0023150 secs]
[GC 64203K->15571K(135168K), 0.0025590 secs]
[GC 63187K->15571K(136704K), 0.0022860 secs]
[GC 62163K->15571K(133120K), 0.0023420 secs]
[GC 61139K->15571K(134144K), 0.0021870 secs]
[GC 60115K->15579K(131072K), 0.0022640 secs]
[GC 59099K->15579K(131584K), 0.0022550 secs]
[GC 58075K->15515K(129024K), 0.0028060 secs]
[GC 56987K->15547K(129536K), 0.0025520 secs]
[GC 55995K->15587K(126976K), 0.0023090 secs]
[GC 55011K->15587K(126976K), 0.0023890 secs]
[GC 53987K->15587K(134656K), 0.0026860 secs]
[GC 62691K->15587K(134656K), 0.0028080 secs]
[GC 61667K->15603K(132608K), 0.0026700 secs]
[GC 60659K->15571K(132608K), 0.0023980 secs]
[GC 59603K->15603K(130560K), 0.0023470 secs]
[GC 58611K->15619K(130048K), 0.0022170 secs]
[GC 57603K->15619K(128512K), 0.0023760 secs]
[GC 56579K->15619K(128000K), 0.0024020 secs]
[GC 55555K->15619K(126464K), 0.0024180 secs]
[GC 54531K->15635K(135168K), 0.0024210 secs]
[GC 62739K->15635K(133632K), 0.0023240 secs]
[GC 61715K->15635K(133120K), 0.0023030 secs]
[GC 60691K->15571K(131584K), 0.0027820 secs]
[GC 59603K->15651K(131072K), 0.0023640 secs]
[GC 58659K->15651K(129536K), 0.0022980 secs]
[GC 57635K->15651K(128512K), 0.0022410 secs]
[GC 56611K->15651K(127488K), 0.0022960 secs]
[GC 55587K->15651K(126464K), 0.0022480 secs]
[GC 54563K->15675K(125440K), 0.0023130 secs]
[GC 53563K->15675K(133120K), 0.0023610 secs]
[GC 61243K->15675K(142336K), 0.0024560 secs]
[GC 70459K->15675K(140800K), 0.0023910 secs]
[GC 68923K->15691K(139264K), 0.0023220 secs]
[GC 67403K->15691K(137728K), 0.0023110 secs]
[GC 65867K->15691K(136704K), 0.0023690 secs]
[GC 64843K->15691K(135680K), 0.0022890 secs]
[GC 63819K->15707K(134656K), 0.0023170 secs]
[GC 62811K->15707K(133632K), 0.0022600 secs]
[GC 61787K->15707K(132608K), 0.0021830 secs]
[GC 60763K->15707K(131584K), 0.0021680 secs]
[GC 59739K->15723K(130560K), 0.0023190 secs]
[GC 58731K->15723K(129536K), 0.0022840 secs]
[GC 57707K->15723K(128512K), 0.0022660 secs]
[GC 56683K->15723K(127488K), 0.0023480 secs]
[GC 55659K->15731K(126464K), 0.0022430 secs]
[GC 54643K->15731K(125440K), 0.0022800 secs]
[GC 53619K->15731K(133120K), 0.0028130 secs]
[GC 61299K->15667K(142336K), 0.0029870 secs]
[GC 70451K->15755K(140800K), 0.0022980 secs]
[GC 69003K->15723K(139264K), 0.0022850 secs]
[GC 67435K->15723K(137728K), 0.0023180 secs]
[GC 65899K->15755K(136704K), 0.0022210 secs]
[GC 64907K->15771K(135680K), 0.0022750 secs]
[GC 63899K->15771K(134656K), 0.0030460 secs]
[GC 62875K->15771K(133632K), 0.0022490 secs]
[GC 61851K->15795K(132608K), 0.0023290 secs]
[GC 60851K->15795K(131584K), 0.0024150 secs]
[GC 59827K->15795K(130560K), 0.0022460 secs]
[GC 58803K->15795K(129536K), 0.0025020 secs]
[GC 57779K->15795K(128512K), 0.0022320 secs]
[GC 56755K->15819K(127488K), 0.0023800 secs]
[GC 55755K->15819K(135680K), 0.0026610 secs]
[GC 63947K->15819K(134656K), 0.0022440 secs]
[GC 62923K->15819K(133632K), 0.0023540 secs]
[GC 61899K->15827K(132608K), 0.0023290 secs]
[GC 60883K->15827K(131584K), 0.0024170 secs]
[GC 59859K->15827K(130560K), 0.0030660 secs]
[GC 58835K->15827K(129536K), 0.0021440 secs]
[GC 57811K->15835K(128512K), 0.0022520 secs]
[GC 56795K->15835K(127488K), 0.0022880 secs]
[GC 55771K->15835K(126464K), 0.0023070 secs]
[GC 54747K->15835K(125440K), 0.0024780 secs]
[GC 53723K->15843K(124928K), 0.0019470 secs]
[GC 53219K->15843K(124416K), 0.0025320 secs]
[GC 52707K->15843K(132096K), 0.0023550 secs]
[GC 60387K->15843K(131072K), 0.0022340 secs]
[GC 59363K->15859K(139776K), 0.0026930 secs]
[GC 68083K->15859K(138240K), 0.0025610 secs]
[GC 66547K->15875K(137216K), 0.0023360 secs]
[GC 65539K->15891K(136192K), 0.0023430 secs]
[GC 64531K->15891K(135168K), 0.0020540 secs]
[GC 63507K->15859K(134144K), 0.0022770 secs]
[GC 62451K->15891K(133120K), 0.0023200 secs]
[GC 61459K->15899K(132096K), 0.0022610 secs]
[GC 60443K->15899K(131072K), 0.0025140 secs]
[GC 59419K->15867K(130048K), 0.0024770 secs]
[GC 58363K->15899K(129024K), 0.0027790 secs]
[GC 57371K->15915K(128000K), 0.0022370 secs]
[GC 56363K->15915K(126976K), 0.0024470 secs]
[GC 55339K->15883K(125952K), 0.0023550 secs]
[GC 54283K->15915K(125440K), 0.0021840 secs]
[GC 53803K->15939K(124928K), 0.0023040 secs]
[GC 53315K->15939K(124416K), 0.0022580 secs]
[GC 52803K->15939K(132096K), 0.0024980 secs]
[GC 60483K->15955K(131072K), 0.0023730 secs]
[GC 59475K->15963K(130048K), 0.0023080 secs]
[GC 58459K->15963K(129024K), 0.0023280 secs]
[GC 57435K->15931K(137728K), 0.0026350 secs]
[GC 66107K->15963K(136704K), 0.0024900 secs]
[GC 65115K->15971K(135680K), 0.0023500 secs]
[GC 64099K->15971K(134656K), 0.0024580 secs]
[GC 63075K->15939K(133632K), 0.0023110 secs]
[GC 62019K->15971K(132608K), 0.0023990 secs]
[GC 61027K->15979K(131584K), 0.0023420 secs]
[GC 60011K->15979K(130560K), 0.0023630 secs]
[GC 58987K->15979K(129536K), 0.0023770 secs]
[GC 57963K->15923K(128512K), 0.0026490 secs]
[GC 56883K->15987K(127488K), 0.0022930 secs]
[GC 55923K->15955K(126464K), 0.0024180 secs]
[GC 54867K->15955K(125440K), 0.0023120 secs]
[GC 53843K->15995K(124928K), 0.0024210 secs]
[GC 53371K->15995K(124416K), 0.0025380 secs]
[GC 52859K->15931K(123904K), 0.0025520 secs]
[GC 52283K->16003K(123392K), 0.0023610 secs]
[GC 51843K->16003K(122880K), 0.0023100 secs]
[GC 51331K->16003K(122368K), 0.0024960 secs]
[GC 50819K->15979K(121856K), 0.0023480 secs]
[GC 50283K->15979K(121344K), 0.0022850 secs]
[GC 49771K->15979K(120832K), 0.0023100 secs]
[GC 49259K->15947K(120320K), 0.0024790 secs]
[GC 48715K->15987K(119808K), 0.0036330 secs]
[GC 48243K->16019K(119296K), 0.0024870 secs]
[GC 47763K->16027K(118784K), 0.0024020 secs]
[GC 47259K->15963K(118272K), 0.0028580 secs]
[GC 46683K->16027K(117760K), 0.0024600 secs]
[GC 46235K->15995K(117248K), 0.0030080 secs]
[GC 45691K->16035K(116736K), 0.0027380 secs]
[GC 45219K->15971K(116224K), 0.0024740 secs]
[GC 44643K->16003K(115712K), 0.0023980 secs]
[GC 44163K->15971K(121344K), 0.0029950 secs]
[GC 49763K->15979K(128512K), 0.0026650 secs]
[GC 56939K->16011K(136704K), 0.0023230 secs]
[GC 65163K->16011K(135680K), 0.0025290 secs]
[GC 64139K->16051K(134656K), 0.0024550 secs]
[GC 63155K->16019K(133632K), 0.0027270 secs]
[GC 62099K->16059K(132608K), 0.0025550 secs]
[GC 61115K->16027K(131584K), 0.0024040 secs]
[GC 60059K->16027K(130560K), 0.0026190 secs]
[GC 59035K->16035K(129536K), 0.0024150 secs]
[GC 58019K->16003K(128512K), 0.0026490 secs]
[GC 56963K->16035K(127488K), 0.0024590 secs]
[GC 55971K->16075K(126464K), 0.0023490 secs]
[GC 54987K->16075K(125440K), 0.0023410 secs]
[GC 53963K->16075K(124928K), 0.0022500 secs]
[GC 53451K->16083K(124416K), 0.0023850 secs]
[GC 52947K->16083K(123904K), 0.0023660 secs]
[GC 52435K->16083K(123392K), 0.0024040 secs]
[GC 51923K->16083K(122880K), 0.0023640 secs]
[GC 51411K->16083K(122368K), 0.0024040 secs]
[GC 50899K->16059K(121856K), 0.0023480 secs]
[GC 50363K->16091K(121344K), 0.0023360 secs]
[GC 49883K->16091K(120832K), 0.0024580 secs]
[GC 49371K->16091K(120320K), 0.0022440 secs]
[GC 48859K->16107K(119808K), 0.0021450 secs]
[GC 48363K->16075K(126464K), 0.0024620 secs]
[GC 54987K->16107K(134656K), 0.0022720 secs]
[GC 63211K->16107K(133632K), 0.0023910 secs]
[GC 62187K->16123K(132608K), 0.0026730 secs]
[GC 61179K->16091K(131584K), 0.0028830 secs]
[GC 60123K->16123K(130560K), 0.0026730 secs]
[GC 59131K->16123K(129536K), 0.0024640 secs]
[GC 58107K->16139K(128512K), 0.0023450 secs]
[GC 57099K->16139K(127488K), 0.0022890 secs]
[GC 56075K->16139K(126464K), 0.0022890 secs]
[GC 55051K->16139K(125440K), 0.0022570 secs]
[GC 54027K->16139K(124928K), 0.0023340 secs]
[GC 53515K->16155K(124416K), 0.0023020 secs]
[GC 53019K->16155K(132096K), 0.0024790 secs]
[GC 60699K->16123K(141312K), 0.0025730 secs]
[GC 69883K->16059K(152064K), 0.0051270 secs]
[GC 80571K->16179K(165376K), 0.0023210 secs]
[GC 94003K->16179K(162816K), 0.0023090 secs]
[GC 91443K->16179K(160256K), 0.0023720 secs]
[GC 88883K->16187K(158208K), 0.0021520 secs]
[GC 86843K->16187K(156160K), 0.0024080 secs]
[GC 84795K->16195K(154112K), 0.0022690 secs]
[GC 82755K->16195K(152064K), 0.0022950 secs]
[GC 80707K->16203K(150016K), 0.0022440 secs]
[GC 78667K->16203K(148480K), 0.0024510 secs]
[GC 77131K->16203K(146944K), 0.0024210 secs]
[GC 75595K->16219K(145408K), 0.0023370 secs]
[GC 74075K->16235K(143872K), 0.0023840 secs]
[GC 72555K->16243K(142336K), 0.0023080 secs]
[GC 71027K->16243K(140800K), 0.0025240 secs]
[GC 69491K->16219K(139264K), 0.0023300 secs]
[GC 67931K->16195K(137728K), 0.0023790 secs]
[GC 66371K->16259K(136704K), 0.0023020 secs]
[GC 65411K->16259K(135680K), 0.0023800 secs]
[GC 64387K->16259K(134656K), 0.0024960 secs]
[GC 63363K->16283K(133632K), 0.0023690 secs]
[GC 62363K->16283K(132608K), 0.0026660 secs]
[GC 61339K->16283K(131584K), 0.0033890 secs]
[GC 60315K->16291K(130560K), 0.0023330 secs]
[GC 59299K->16291K(129536K), 0.0022830 secs]
[GC 58275K->16307K(128512K), 0.0024080 secs]
[GC 57267K->16307K(127488K), 0.0022000 secs]
[GC 56243K->16307K(126464K), 0.0025470 secs]
[GC 55219K->16275K(125440K), 0.0021440 secs]
[GC 54163K->16331K(124928K), 0.0022140 secs]
[GC 53707K->16331K(124416K), 0.0023510 secs]
[GC 53195K->16331K(123904K), 0.0023440 secs]
[GC 52683K->16331K(131584K), 0.0024660 secs]
[GC 60363K->16347K(130560K), 0.0023060 secs]
[GC 59355K->16363K(129536K), 0.0023160 secs]
[GC 58347K->16363K(138240K), 0.0023880 secs]
[GC 67051K->16363K(137216K), 0.0023250 secs]
[GC 66027K->16363K(136192K), 0.0022600 secs]
[GC 65003K->16371K(135168K), 0.0023280 secs]
[GC 63987K->16387K(134144K), 0.0023500 secs]
[GC 62979K->16387K(133120K), 0.0023220 secs]
[GC 61955K->16387K(132096K), 0.0023430 secs]
[GC 60931K->16395K(131072K), 0.0022640 secs]
[GC 59915K->16395K(130048K), 0.0022610 secs]
[GC 58891K->16395K(129024K), 0.0022920 secs]
[GC 57867K->16395K(128000K), 0.0022350 secs]
[GC 56843K->16403K(126976K), 0.0022980 secs]
[GC 55827K->16403K(125952K), 0.0022740 secs]
[GC 54803K->16419K(133632K), 0.0022420 secs]
[GC 62499K->16419K(132608K), 0.0022860 secs]
[GC 61475K->16419K(131584K), 0.0022620 secs]
[GC 60451K->16443K(130560K), 0.0022780 secs]
[GC 59451K->16443K(129536K), 0.0024710 secs]
[GC 58427K->16459K(128512K), 0.0022930 secs]
[GC 57419K->16459K(136704K), 0.0024340 secs]
[GC 65611K->16475K(135680K), 0.0022590 secs]
[GC 64603K->16475K(134656K), 0.0022880 secs]
[GC 63579K->16475K(133632K), 0.0023200 secs]
[GC 62555K->16411K(132608K), 0.0029630 secs]
[GC 61467K->16491K(131584K), 0.0024730 secs]
[GC 60523K->16491K(130560K), 0.0022390 secs]
[GC 59499K->16491K(129536K), 0.0023550 secs]
[GC 58474K->16491K(128512K), 0.0023250 secs]
[GC 57451K->16475K(127488K), 0.0022850 secs]
[GC 56411K->16475K(126464K), 0.0025270 secs]
[GC 55387K->16507K(134656K), 0.0023420 secs]
[GC 63611K->16507K(133632K), 0.0023590 secs]
[GC 62587K->16507K(132608K), 0.0023350 secs]
[GC 61563K->16523K(131584K), 0.0022790 secs]
[GC 60555K->16523K(130560K), 0.0023440 secs]
[GC 59531K->16523K(129536K), 0.0022990 secs]
[GC 58507K->16523K(128512K), 0.0023460 secs]
[GC 57483K->16539K(127488K), 0.0023020 secs]
[GC 56475K->16539K(126464K), 0.0022140 secs]
[GC 55451K->16539K(134656K), 0.0023300 secs]
[GC 63643K->16539K(133632K), 0.0024560 secs]
[GC 62619K->16555K(132608K), 0.0023860 secs]
[GC 61611K->16523K(131584K), 0.0023500 secs]
[GC 60555K->16555K(130560K), 0.0024490 secs]
[GC 59563K->16555K(129536K), 0.0023340 secs]
[GC 58539K->16531K(138240K), 0.0026420 secs]
[GC 67219K->16579K(137216K), 0.0023390 secs]
[GC 66243K->16579K(136192K), 0.0024500 secs]
[GC 65219K->16579K(135168K), 0.0022960 secs]
[GC 64195K->16587K(134144K), 0.0022750 secs]
[GC 63179K->16595K(133120K), 0.0023680 secs]
[GC 62163K->16595K(132096K), 0.0024500 secs]
[GC 61139K->16595K(131072K), 0.0021550 secs]
[GC 60115K->16595K(130048K), 0.0023380 secs]
[GC 59091K->16603K(129024K), 0.0024230 secs]
[GC 58075K->16603K(128000K), 0.0024150 secs]
[GC 57051K->16603K(126976K), 0.0023070 secs]
[GC 56027K->16603K(135168K), 0.0023160 secs]
[GC 64219K->16611K(134144K), 0.0022450 secs]
[GC 63203K->16579K(133120K), 0.0024790 secs]
[GC 62147K->16611K(132096K), 0.0022580 secs]
[GC 61155K->16611K(131072K), 0.0022640 secs]
[GC 60131K->16619K(130048K), 0.0022990 secs]
[GC 59115K->16619K(129024K), 0.0023270 secs]
[GC 58091K->16619K(128000K), 0.0022620 secs]
[GC 57067K->16619K(126976K), 0.0022980 secs]
[GC 56043K->16587K(125952K), 0.0025430 secs]
[GC 54987K->16643K(125440K), 0.0022990 secs]
[GC 54531K->16643K(124928K), 0.0021990 secs]
[GC 54019K->16643K(132608K), 0.0022510 secs]
[GC 61699K->16643K(131584K), 0.0023110 secs]
[GC 60675K->16651K(130560K), 0.0022720 secs]
[GC 59659K->16651K(129536K), 0.0022690 secs]
[GC 58635K->16651K(128512K), 0.0022810 secs]
[GC 57611K->16651K(127488K), 0.0022560 secs]
[GC 56587K->16651K(135680K), 0.0024090 secs]
[GC 64779K->16675K(134656K), 0.0023780 secs]
[GC 63779K->16691K(133632K), 0.0022710 secs]
[GC 62771K->16691K(132608K), 0.0022120 secs]
[GC 61747K->16691K(131584K), 0.0022690 secs]
[GC 60723K->16699K(130560K), 0.0022730 secs]
[GC 59707K->16707K(129536K), 0.0023680 secs]
[GC 58691K->16707K(128512K), 0.0023850 secs]
[GC 57667K->16643K(136704K), 0.0039560 secs]
[GC 65795K->16683K(146944K), 0.0023960 secs]
[GC 76075K->16715K(145408K), 0.0022530 secs]
[GC 74571K->16715K(143872K), 0.0023430 secs]
[GC 73035K->16715K(142336K), 0.0026360 secs]
[GC 71499K->16731K(140800K), 0.0022530 secs]
